Ref	x	y	Connectivity	Point First Moment	Point Second Moment
65592	0.68	7.04	91	28.691513	11.32
65593	0.68	7.08	102	38.375195	22.076799
65594	0.68	7.12	135	73.011009	62.731201
65595	0.68	7.16	136	72.054672	61.1968
65596	0.68	7.2	106	42.236126	26.406401
65597	0.68	7.24	84	27.227448	11.824
65599	0.68	7.32	81	22.344883	7.3119998
65600	0.68	7.36	89	23.430403	7.4815998
65601	0.68	7.4	91	23.329962	7.2992001
65602	0.68	7.44	90	23.028296	7.2096
65603	0.68	7.48	84	22.413893	7.2863998
65604	0.68	7.52	82	23.040989	7.7199998
65606	0.68	7.6	87	38.340282	26.313601
65607	0.68	7.64	97	44.365986	32.124802
65608	0.68	7.68	108	51.783161	38.5056
65609	0.68	7.72	109	53.244698	39.591999
65610	0.68	7.76	95	38.697723	23.264
131128	0.72	7.04	102	32.769993	13.744
131129	0.72	7.08	113	40.958103	22.486401
131130	0.72	7.12	145	73.255661	59.785599
131131	0.72	7.16	143	70.484398	57.271999
131132	0.72	7.2	115	40.43277	22.9568
131133	0.72	7.24	100	27.023703	9.5056
131135	0.72	7.32	96	23.956745	7.1680002
131136	0.72	7.36	100	23.603025	6.7919998
131137	0.72	7.4	99	23.024195	6.5760002
131138	0.72	7.44	101	23.552282	6.744
131139	0.72	7.48	99	23.681519	6.9759998
131140	0.72	7.52	84	21.68857	6.8175998
131142	0.72	7.6	102	39.809086	25.363199
131143	0.72	7.64	111	45.547054	30.568001
131144	0.72	7.68	120	53.093029	36.9744
131145	0.72	7.72	122	55.905392	38.9072
131146	0.72	7.76	107	43.013672	25.2064
196664	0.76	7.04	102	30.459377	12.1008
196665	0.76	7.08	112	37.266163	19.3776
196666	0.76	7.12	149	72.022911	57.112
196667	0.76	7.16	148	68.984161	53.7952
196668	0.76	7.2	124	40.585949	21.235201
196669	0.76	7.24	117	30.89657	10.6496
196670	0.76	7.28	93	20.425934	5.5376
196671	0.76	7.32	109	24.63987	6.7328
196672	0.76	7.36	104	22.756449	6.072
196673	0.76	7.4	101	21.336105	5.552
196674	0.76	7.44	101	21.455666	5.6431999
196675	0.76	7.48	102	22.463762	6.1328001
196676	0.76	7.52	108	24.524914	6.9071999
196677	0.76	7.56	89	20.552114	6.0367999
196678	0.76	7.6	120	41.944683	23.112
196679	0.76	7.64	123	48.517162	30.854401
196680	0.76	7.68	126	54.098293	36.628799
196681	0.76	7.72	123	52.332752	34.1856
196682	0.76	7.76	105	38.426586	20.742399
262200	0.8	7.04	102	29.137228	11.4064
262201	0.8	7.08	110	33.311489	15.5616
262202	0.8	7.12	146	66.708405	51.478401
262203	0.8	7.16	141	62.477539	47.959999
262204	0.8	7.2	109	31.902433	15.9952
262205	0.8	7.24	86	19.30418	5.7951999
262207	0.8	7.32	86	18.253939	4.7839999
262208	0.8	7.36	95	18.948063	4.6799998
262209	0.8	7.4	100	19.752245	4.8271999
262210	0.8	7.44	99	19.693623	4.8992
262211	0.8	7.48	97	19.821554	5.0976
262212	0.8	7.52	84	18.721516	5.2048001
262214	0.8	7.6	91	28.888416	15.744
262215	0.8	7.64	106	38.802296	24.692801
262216	0.8	7.68	121	48.852211	32.195202
262217	0.8	7.72	117	45.911297	28.656
262218	0.8	7.76	101	32.795208	15.568
327736	0.84	7.04	92	22.003006	6.9120002
327737	0.84	7.08	94	22.683102	8.4639997
327738	0.84	7.12	137	60.210972	46.257599
327739	0.84	7.16	128	54.657177	41.9856
327740	0.84	7.2	95	25.367149	12.0608
327741	0.84	7.24	81	17.433615	4.9295998
327743	0.84	7.32	81	16.459587	4.0864
327744	0.84	7.36	83	14.9294	3.3248
327745	0.84	7.4	83	14.046597	2.9375999
327746	0.84	7.44	85	14.626451	3.1312001
327747	0.84	7.48	82	15.306084	3.6256001
327748	0.84	7.52	82	17.155693	4.4944
327750	0.84	7.6	82	23.939941	12.0352
327751	0.84	7.64	94	33.640411	21.4272
327752	0.84	7.68	109	42.131927	27.832001
327753	0.84	7.72	105	37.923157	22.9296
327754	0.84	7.76	85	21.76741	8.0607996
393257	0.88	6.44	42	8.7469444	2.3471999
393258	0.88	6.48	60	21.750759	13.072
393259	0.88	6.52	52	14.967987	8.0271997
393260	0.88	6.56	38	5.786551	1.1824
393261	0.88	6.6	36	5.377718	0.99040002
393262	0.88	6.64	32	5.0924959	0.95520002
393264	0.88	6.72	19	2.6990466	0.50400001
393265	0.88	6.76	23	3.3436391	0.63840002
393266	0.88	6.8	41	15.748744	11.216
393272	0.88	7.04	87	19.072384	5.4000001
393273	0.88	7.08	89	19.278217	6.4335999
393274	0.88	7.12	133	56.964733	42.820801
393275	0.88	7.16	126	51.609089	38.284801
393276	0.88	7.2	91	22.262644	9.2992001
393277	0.88	7.24	82	17.050226	4.5455999
393279	0.88	7.32	78	15.038219	3.52
393280	0.88	7.36	76	12.657201	2.5504
393281	0.88	7.4	77	11.78551	2.1296
